------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:56:56 (uptime: 0d, 00h 00m 15s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 6
flow.wrk.flows_evicted_pkt_inject             | Total                     | 6
flow.wrk.flows_injected                       | Total                     | 6
tcp.sessions                                  | Total                     | 18
tcp.ssn_from_cache                            | Total                     | 1
tcp.ssn_from_pool                             | Total                     | 17
tcp.segment_from_cache                        | Total                     | 19
tcp.segment_from_pool                         | Total                     | 241
detect.alert                                  | Total                     | 49
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 17
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 35
app_layer.tx.dns_udp                          | Total                     | 105
app_layer.flow.failed_udp                     | Total                     | 11
flow.end.state.new                            | Total                     | 19
flow.end.state.closed                         | Total                     | 6
flow.end.tcp_state.closed                     | Total                     | 6
flow.mgr.full_hash_pass                       | Total                     | 9
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9219
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 147
flow.mgr.flows_notimeout                      | Total                     | 122
flow.mgr.flows_timeout                        | Total                     | 25
flow.mgr.flows_evicted                        | Total                     | 25
flow.mgr.flows_evicted_needs_work             | Total                     | 6
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
flow.recycler.recycled                        | Total                     | 19
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1089580
http.memuse                                   | Total                     | 112
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:58:32 (uptime: 0d, 00h 01m 51s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1634
decoder.pkts                                  | Total                     | 1634
decoder.bytes                                 | Total                     | 655587
decoder.ipv4                                  | Total                     | 393
decoder.ipv6                                  | Total                     | 1231
decoder.ethernet                              | Total                     | 1634
decoder.arp                                   | Total                     | 10
decoder.tcp                                   | Total                     | 1401
tcp.syn                                       | Total                     | 18
tcp.synack                                    | Total                     | 18
tcp.rst                                       | Total                     | 19
decoder.udp                                   | Total                     | 173
decoder.icmpv6                                | Total                     | 49
decoder.avg_pkt_size                          | Total                     | 401
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 11
flow.total                                    | Total                     | 92
flow.active                                   | Total                     | 64
flow.tcp                                      | Total                     | 33
flow.udp                                      | Total                     | 50
flow.icmpv6                                   | Total                     | 9
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 7
flow.wrk.flows_evicted_pkt_inject             | Total                     | 7
flow.wrk.flows_injected                       | Total                     | 7
tcp.sessions                                  | Total                     | 18
tcp.ssn_from_cache                            | Total                     | 1
tcp.ssn_from_pool                             | Total                     | 17
tcp.segment_from_cache                        | Total                     | 19
tcp.segment_from_pool                         | Total                     | 241
detect.alert                                  | Total                     | 52
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 17
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 38
app_layer.tx.dns_udp                          | Total                     | 113
app_layer.flow.failed_udp                     | Total                     | 11
flow.end.state.new                            | Total                     | 21
flow.end.state.closed                         | Total                     | 7
flow.end.tcp_state.closed                     | Total                     | 7
flow.mgr.full_hash_pass                       | Total                     | 10
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9221
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 160
flow.mgr.flows_notimeout                      | Total                     | 132
flow.mgr.flows_timeout                        | Total                     | 28
flow.mgr.flows_evicted                        | Total                     | 28
flow.mgr.flows_evicted_needs_work             | Total                     | 7
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
flow.recycler.recycled                        | Total                     | 21
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1073196
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:58:40 (uptime: 0d, 00h 01m 59s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1684
decoder.pkts                                  | Total                     | 1686
decoder.bytes                                 | Total                     | 669316
decoder.ipv4                                  | Total                     | 403
decoder.ipv6                                  | Total                     | 1273
decoder.ethernet                              | Total                     | 1686
decoder.arp                                   | Total                     | 10
decoder.tcp                                   | Total                     | 1435
tcp.syn                                       | Total                     | 19
tcp.synack                                    | Total                     | 19
tcp.rst                                       | Total                     | 19
decoder.udp                                   | Total                     | 189
decoder.icmpv6                                | Total                     | 51
decoder.avg_pkt_size                          | Total                     | 396
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 10
flow.total                                    | Total                     | 97
flow.active                                   | Total                     | 67
flow.tcp                                      | Total                     | 35
flow.udp                                      | Total                     | 52
flow.icmpv6                                   | Total                     | 10
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 8
flow.wrk.flows_evicted_pkt_inject             | Total                     | 9
flow.wrk.flows_injected                       | Total                     | 8
tcp.sessions                                  | Total                     | 19
tcp.ssn_from_cache                            | Total                     | 1
tcp.ssn_from_pool                             | Total                     | 18
tcp.segment_from_cache                        | Total                     | 19
tcp.segment_from_pool                         | Total                     | 252
detect.alert                                  | Total                     | 55
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 18
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 40
app_layer.tx.dns_udp                          | Total                     | 125
app_layer.flow.failed_udp                     | Total                     | 11
flow.end.state.new                            | Total                     | 21
flow.end.state.closed                         | Total                     | 9
flow.end.tcp_state.closed                     | Total                     | 9
flow.mgr.full_hash_pass                       | Total                     | 11
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9222
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 169
flow.mgr.flows_notimeout                      | Total                     | 139
flow.mgr.flows_timeout                        | Total                     | 30
flow.mgr.flows_evicted                        | Total                     | 30
flow.mgr.flows_evicted_needs_work             | Total                     | 8
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
flow.recycler.recycled                        | Total                     | 22
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1073196
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:58:48 (uptime: 0d, 00h 02m 07s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1697
decoder.pkts                                  | Total                     | 1697
decoder.bytes                                 | Total                     | 671570
decoder.ipv4                                  | Total                     | 412
decoder.ipv6                                  | Total                     | 1273
decoder.ethernet                              | Total                     | 1697
decoder.arp                                   | Total                     | 12
decoder.tcp                                   | Total                     | 1442
tcp.syn                                       | Total                     | 19
tcp.synack                                    | Total                     | 19
tcp.rst                                       | Total                     | 19
decoder.udp                                   | Total                     | 191
decoder.icmpv6                                | Total                     | 51
decoder.avg_pkt_size                          | Total                     | 395
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 8
flow.total                                    | Total                     | 97
flow.active                                   | Total                     | 64
flow.tcp                                      | Total                     | 35
flow.udp                                      | Total                     | 52
flow.icmpv6                                   | Total                     | 10
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 10
flow.wrk.flows_evicted_pkt_inject             | Total                     | 12
flow.wrk.flows_injected                       | Total                     | 10
tcp.sessions                                  | Total                     | 19
tcp.ssn_from_cache                            | Total                     | 1
tcp.ssn_from_pool                             | Total                     | 18
tcp.segment_from_cache                        | Total                     | 22
tcp.segment_from_pool                         | Total                     | 252
detect.alert                                  | Total                     | 55
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 18
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 40
app_layer.tx.dns_udp                          | Total                     | 127
app_layer.flow.failed_udp                     | Total                     | 11
flow.end.state.new                            | Total                     | 22
flow.end.state.closed                         | Total                     | 11
flow.end.tcp_state.closed                     | Total                     | 11
flow.mgr.full_hash_pass                       | Total                     | 11
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9223
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 174
flow.mgr.flows_notimeout                      | Total                     | 141
flow.mgr.flows_timeout                        | Total                     | 33
flow.mgr.flows_evicted                        | Total                     | 33
flow.mgr.flows_evicted_needs_work             | Total                     | 10
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
flow.recycler.recycled                        | Total                     | 23
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1032236
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:58:56 (uptime: 0d, 00h 02m 15s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1741
decoder.pkts                                  | Total                     | 1742
decoder.bytes                                 | Total                     | 675373
decoder.ipv4                                  | Total                     | 443
decoder.ipv6                                  | Total                     | 1287
decoder.ethernet                              | Total                     | 1742
decoder.arp                                   | Total                     | 12
decoder.tcp                                   | Total                     | 1474
tcp.syn                                       | Total                     | 19
tcp.synack                                    | Total                     | 19
tcp.rst                                       | Total                     | 21
decoder.udp                                   | Total                     | 202
decoder.icmpv6                                | Total                     | 53
decoder.avg_pkt_size                          | Total                     | 387
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 6
flow.total                                    | Total                     | 97
flow.active                                   | Total                     | 61
flow.tcp                                      | Total                     | 35
flow.udp                                      | Total                     | 52
flow.icmpv6                                   | Total                     | 10
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 12
flow.wrk.flows_evicted_pkt_inject             | Total                     | 14
flow.wrk.flows_injected                       | Total                     | 12
tcp.sessions                                  | Total                     | 19
tcp.ssn_from_cache                            | Total                     | 1
tcp.ssn_from_pool                             | Total                     | 18
tcp.segment_from_cache                        | Total                     | 24
tcp.segment_from_pool                         | Total                     | 252
detect.alert                                  | Total                     | 55
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 18
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 40
app_layer.tx.dns_udp                          | Total                     | 133
app_layer.flow.failed_udp                     | Total                     | 11
flow.end.state.new                            | Total                     | 23
flow.end.state.closed                         | Total                     | 13
flow.end.tcp_state.closed                     | Total                     | 13
flow.mgr.full_hash_pass                       | Total                     | 12
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9224
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 183
flow.mgr.flows_notimeout                      | Total                     | 147
flow.mgr.flows_timeout                        | Total                     | 36
flow.mgr.flows_evicted                        | Total                     | 36
flow.mgr.flows_evicted_needs_work             | Total                     | 12
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
flow.recycler.recycled                        | Total                     | 24
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1032236
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:59:04 (uptime: 0d, 00h 02m 23s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1775
decoder.pkts                                  | Total                     | 1775
decoder.bytes                                 | Total                     | 679055
decoder.ipv4                                  | Total                     | 459
decoder.ipv6                                  | Total                     | 1304
decoder.ethernet                              | Total                     | 1775
decoder.arp                                   | Total                     | 12
decoder.tcp                                   | Total                     | 1490
tcp.syn                                       | Total                     | 19
tcp.synack                                    | Total                     | 19
tcp.rst                                       | Total                     | 21
decoder.udp                                   | Total                     | 215
decoder.icmpv6                                | Total                     | 57
decoder.avg_pkt_size                          | Total                     | 382
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 5
flow.total                                    | Total                     | 100
flow.active                                   | Total                     | 63
flow.tcp                                      | Total                     | 35
flow.udp                                      | Total                     | 55
flow.icmpv6                                   | Total                     | 10
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 13
flow.wrk.flows_evicted_pkt_inject             | Total                     | 15
flow.wrk.flows_injected                       | Total                     | 13
tcp.sessions                                  | Total                     | 19
tcp.ssn_from_cache                            | Total                     | 1
tcp.ssn_from_pool                             | Total                     | 18
tcp.segment_from_cache                        | Total                     | 24
tcp.segment_from_pool                         | Total                     | 252
detect.alert                                  | Total                     | 57
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 18
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 42
app_layer.tx.dns_udp                          | Total                     | 142
app_layer.flow.failed_udp                     | Total                     | 12
flow.end.state.new                            | Total                     | 23
flow.end.state.closed                         | Total                     | 14
flow.end.tcp_state.closed                     | Total                     | 14
flow.mgr.full_hash_pass                       | Total                     | 13
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9224
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 197
flow.mgr.flows_notimeout                      | Total                     | 160
flow.mgr.flows_timeout                        | Total                     | 37
flow.mgr.flows_evicted                        | Total                     | 37
flow.mgr.flows_evicted_needs_work             | Total                     | 13
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
flow.recycler.recycled                        | Total                     | 24
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1021996
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:59:12 (uptime: 0d, 00h 02m 31s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1839
decoder.pkts                                  | Total                     | 1839
decoder.bytes                                 | Total                     | 711091
decoder.ipv4                                  | Total                     | 470
decoder.ipv6                                  | Total                     | 1357
decoder.ethernet                              | Total                     | 1839
decoder.arp                                   | Total                     | 12
decoder.tcp                                   | Total                     | 1498
tcp.syn                                       | Total                     | 19
tcp.synack                                    | Total                     | 19
tcp.rst                                       | Total                     | 22
decoder.udp                                   | Total                     | 269
decoder.icmpv4                                | Total                     | 2
decoder.icmpv6                                | Total                     | 57
decoder.avg_pkt_size                          | Total                     | 386
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 5
flow.total                                    | Total                     | 106
flow.active                                   | Total                     | 68
flow.tcp                                      | Total                     | 35
flow.udp                                      | Total                     | 61
flow.icmpv6                                   | Total                     | 10
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 13
flow.wrk.flows_evicted_pkt_inject             | Total                     | 15
flow.wrk.flows_injected                       | Total                     | 13
tcp.sessions                                  | Total                     | 19
tcp.ssn_from_cache                            | Total                     | 1
tcp.ssn_from_pool                             | Total                     | 18
tcp.segment_from_cache                        | Total                     | 26
tcp.segment_from_pool                         | Total                     | 252
detect.alert                                  | Total                     | 69
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 18
app_layer.flow.quic                           | Total                     | 3
app_layer.tx.quic                             | Total                     | 6
app_layer.error.quic.parser                   | Total                     | 8
app_layer.flow.dns_udp                        | Total                     | 46
app_layer.tx.dns_udp                          | Total                     | 153
app_layer.flow.failed_udp                     | Total                     | 12
flow.end.state.new                            | Total                     | 24
flow.end.state.closed                         | Total                     | 14
flow.end.tcp_state.closed                     | Total                     | 14
flow.mgr.full_hash_pass                       | Total                     | 14
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9225
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 204
flow.mgr.flows_notimeout                      | Total                     | 166
flow.mgr.flows_timeout                        | Total                     | 38
flow.mgr.flows_evicted                        | Total                     | 38
flow.mgr.flows_evicted_needs_work             | Total                     | 13
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
flow.recycler.recycled                        | Total                     | 25
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1021996
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:59:20 (uptime: 0d, 00h 02m 39s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2102
decoder.pkts                                  | Total                     | 2105
decoder.bytes                                 | Total                     | 888927
decoder.ipv4                                  | Total                     | 494
decoder.ipv6                                  | Total                     | 1597
decoder.ethernet                              | Total                     | 2105
decoder.arp                                   | Total                     | 14
decoder.tcp                                   | Total                     | 1712
tcp.syn                                       | Total                     | 23
tcp.synack                                    | Total                     | 23
tcp.rst                                       | Total                     | 24
decoder.udp                                   | Total                     | 317
decoder.icmpv4                                | Total                     | 2
decoder.icmpv6                                | Total                     | 59
decoder.avg_pkt_size                          | Total                     | 422
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 9
flow.total                                    | Total                     | 120
flow.active                                   | Total                     | 80
flow.tcp                                      | Total                     | 39
flow.udp                                      | Total                     | 71
flow.icmpv6                                   | Total                     | 10
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 13
flow.wrk.flows_evicted_pkt_inject             | Total                     | 15
flow.wrk.flows_injected                       | Total                     | 13
tcp.sessions                                  | Total                     | 23
tcp.ssn_from_cache                            | Total                     | 4
tcp.ssn_from_pool                             | Total                     | 19
tcp.segment_from_cache                        | Total                     | 67
tcp.segment_from_pool                         | Total                     | 338
detect.alert                                  | Total                     | 78
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 22
app_layer.flow.quic                           | Total                     | 4
app_layer.tx.quic                             | Total                     | 8
app_layer.error.quic.parser                   | Total                     | 8
app_layer.flow.dns_udp                        | Total                     | 55
app_layer.tx.dns_udp                          | Total                     | 172
app_layer.flow.failed_udp                     | Total                     | 12
flow.end.state.new                            | Total                     | 26
flow.end.state.closed                         | Total                     | 14
flow.end.tcp_state.closed                     | Total                     | 14
flow.mgr.full_hash_pass                       | Total                     | 15
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9227
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 212
flow.mgr.flows_notimeout                      | Total                     | 172
flow.mgr.flows_timeout                        | Total                     | 40
flow.mgr.flows_evicted                        | Total                     | 40
flow.mgr.flows_evicted_needs_work             | Total                     | 13
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
flow.recycler.recycled                        | Total                     | 27
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1167448
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:59:28 (uptime: 0d, 00h 02m 47s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2125
decoder.pkts                                  | Total                     | 2127
decoder.bytes                                 | Total                     | 891062
decoder.ipv4                                  | Total                     | 502
decoder.ipv6                                  | Total                     | 1611
decoder.ethernet                              | Total                     | 2127
decoder.arp                                   | Total                     | 14
decoder.tcp                                   | Total                     | 1725
tcp.syn                                       | Total                     | 23
tcp.synack                                    | Total                     | 23
tcp.rst                                       | Total                     | 25
decoder.udp                                   | Total                     | 321
decoder.icmpv4                                | Total                     | 2
decoder.icmpv6                                | Total                     | 64
decoder.avg_pkt_size                          | Total                     | 418
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 8
flow.total                                    | Total                     | 122
flow.active                                   | Total                     | 79
flow.tcp                                      | Total                     | 39
flow.udp                                      | Total                     | 71
flow.icmpv6                                   | Total                     | 12
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 14
flow.wrk.flows_evicted_pkt_inject             | Total                     | 17
flow.wrk.flows_injected                       | Total                     | 14
tcp.sessions                                  | Total                     | 23
tcp.ssn_from_cache                            | Total                     | 4
tcp.ssn_from_pool                             | Total                     | 19
tcp.segment_from_cache                        | Total                     | 67
tcp.segment_from_pool                         | Total                     | 338
detect.alert                                  | Total                     | 80
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 22
app_layer.flow.quic                           | Total                     | 4
app_layer.tx.quic                             | Total                     | 8
app_layer.error.quic.parser                   | Total                     | 8
app_layer.flow.dns_udp                        | Total                     | 55
app_layer.tx.dns_udp                          | Total                     | 177
app_layer.flow.failed_udp                     | Total                     | 12
flow.end.state.new                            | Total                     | 28
flow.end.state.closed                         | Total                     | 15
flow.end.tcp_state.closed                     | Total                     | 15
flow.mgr.full_hash_pass                       | Total                     | 15
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9228
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 232
flow.mgr.flows_notimeout                      | Total                     | 189
flow.mgr.flows_timeout                        | Total                     | 43
flow.mgr.flows_evicted                        | Total                     | 43
flow.mgr.flows_evicted_needs_work             | Total                     | 14
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
flow.recycler.recycled                        | Total                     | 29
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1157208
